row_number,wals_code,iso_code,glottocode,name,genus,family,macroarea,latitude,longitude
1,aar,aiw,aari1239,Aari,South Omotic,Afro-Asiatic,Africa,6.0,36.5833333333
2,aba,aau,abau1245,Abau,Upper Sepik,Sepik,Papunesia,-4.0,141.25
3,abb,shu,chad1249,Arabic (Chadian),Semitic,Afro-Asiatic,Africa,13.8333333333,20.8333333333
4,abd,abi,abid1235,Abidji,Kwa,Niger-Congo,Africa,5.66666666667,-4.58333333333
5,abe,apc,nort3139,Arabic (Beirut),Semitic,Afro-Asiatic,Eurasia,33.9166666667,35.5
6,abh,abv,baha1259,Arabic (Bahrain),Semitic,Afro-Asiatic,Eurasia,26.0,50.5
7,abi,axb,abip1241,Abipón,South Guaicuruan,Guaicuruan,South America,-29.0,-61.0
8,abk,abk,abkh1244,Abkhaz,Northwest Caucasian,Northwest Caucasian,Eurasia,43.0833333333,41.0
9,abm,akz,alab1237,Alabama,Muskogean,Muskogean,North America,32.3333333333,-87.4166666667
10,abn,ard,arab1267,Arabana,Central Pama-Nyungan,Pama-Nyungan,Australia,-28.25,136.25
11,abo,arv,arbo1245,Arbore,Lowland East Cushitic,Afro-Asiatic,Africa,5.0,36.75
12,abu,kgr,abun1252,Abun,North-Central Bird's Head,West Papuan,Papunesia,-0.5,132.5
13,abv,abz,abui1241,Abui,Greater Alor,Timor-Alor-Pantar,Papunesia,-8.25,124.666666667
14,abw,abe,west2630,Abenaki (Western),Algonquian,Algic,North America,44.0,-72.25
15,abz,abq,abaz1241,Abaza,Northwest Caucasian,Northwest Caucasian,Eurasia,44.0,42.0
16,ace,ace,achi1257,Acehnese,Malayo-Sumbawan,Austronesian,Eurasia,5.5,95.5
17,acg,aca,acha1250,Achagua,Inland Northern Arawakan,Arawakan,South America,4.41666666667,-72.25
18,ach,guq,ache1246,Aché,Tupi-Guaraní,Tupian,South America,-25.25,-55.1666666667
19,aci,acr,achi1256,Achí,Mayan,Mayan,North America,15.1666666667,-90.5
20,acl,ach,acol1236,Acholi,Nilotic,Eastern Sudanic,Africa,3.0,32.6666666667
21,acm,acv,achu1247,Achumawi,Palaihnihan,Hokan,North America,41.5,-121.0
22,acn,acn,acha1249,Achang,Burmese-Lolo,Sino-Tibetan,Eurasia,25.0,98.5
23,aco,kjq,west2632,Acoma,Keresan,Keresan,North America,34.9166666667,-107.583333333
24,acu,acu,achu1248,Achuar,Jivaroan,Jivaroan,South America,-2.66667,-76.0
25,ada,ads,adam1238,Adamorobe Sign Language,Sign Languages,other,Africa,5.83333333333,-0.166666666667
26,adg,adn,adan1251,Adang,Greater Alor,Timor-Alor-Pantar,Papunesia,-8.2,124.0
27,adi,adj,adio1239,Adioukrou,Kwa,Niger-Congo,Africa,5.41666666667,-4.58333333333
28,adk,ano,ando1256,Andoke,Andoke,Andoke,South America,-0.666666666667,-72.0
29,adn,adt,adny1235,Adynyamathanha,Central Pama-Nyungan,Pama-Nyungan,Australia,-30.5,139.5
30,adt,ady,adyg1241,Adyghe (Temirgoy),Northwest Caucasian,Northwest Caucasian,Eurasia,45.2166666667,39.7
31,ady,ady,adyg1241,Adyghe (Abzakh),Northwest Caucasian,Northwest Caucasian,Eurasia,45.2333333333,40.5833333333
32,adz,adz,adze1240,Adzera,Oceanic,Austronesian,Papunesia,-6.25,146.25
